,gender,tenure,phone_services,internet_services,contract_duration,payment_method,number_customer_service_calls,phone_min,internet_min,phone_monthly_charges,internet_monthly_charges,avg_monthly_bill,churn,trigger_point,churn_surv,uuid,trigger_price,trigger_quality,trigger_external,cluster,treatment,churn_after_treatment,tenure_9_bin,tenure_bin,number_customer_service_calls_bin,phone_min_bin,internet_min_bin,phone_monthly_charges_bin,internet_monthly_charges_bin,avg_monthly_bill_bin,trigger_point_bin,cluster_bin
0,Female,1,1,1,short-term,mail,2,112.2367696958375,5913.55558688462,19.082280779923494,37.33945971622629,30.425,0,0.0,0.0,95475c60-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,2,115,6000,20,40,25,0,6
1,Male,1,1,1,short-term,email,1,122.3339783403355,3888.080227818644,20.79830746994436,16.97013250423661,16.891,0,0.0,0.0,95475cd8-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,1,115,4000,20,20,10,0,6
2,Male,1,0,1,short-term,mail,2,0.0,2941.437280051301,0.0,19.85044490638179,18.799,0,0.0,0.0,95475dc8-febf-11ec-ac44-0242ac1c0002,0,0,0,4,,0,0,0,2,0,2000,0,20,25,0,4
3,Female,1,1,1,short-term,mail,2,115.2137249295848,4417.94237538977,19.589317595487334,25.895611905645733,24.364,0,0.0,0.0,95475eae-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,2,115,4000,20,30,25,0,6
4,Male,1,0,1,short-term,mail,2,0.0,2790.8049871266885,0.0,30.4998832059683,22.259,0,0.0,0.0,954761ce-febf-11ec-ac44-0242ac1c0002,0,0,0,4,,0,0,0,2,0,2000,0,30,25,0,4
5,Female,1,1,1,short-term,automatic transfer,1,131.7898272452357,726.632835965992,22.406540261881297,8.540284884964453,15.601,0,0.0,0.0,95476818-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,1,135,0,20,10,10,0,6
6,Male,1,0,1,short-term,email,0,0.0,2879.589629511648,0.0,22.53615220412842,19.507,0,0.0,0.0,95476890-febf-11ec-ac44-0242ac1c0002,0,0,0,4,,0,0,0,0,0,2000,0,20,25,0,4
7,Male,1,1,1,short-term,mail,1,118.12150231897417,3574.5520130795635,20.082517935295943,40.46117240530585,28.375,0,0.0,0.0,95476980-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,1,115,4000,20,40,25,0,6
8,Male,1,1,1,short-term,email,2,119.83241950782951,5087.291562450646,20.37453736452897,41.227505623821344,28.908,0,0.0,0.0,95476d72-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,2,115,6000,20,40,25,0,6
9,Male,1,0,1,short-term,mail,1,0.0,2538.84171602534,0.0,21.040254126488698,21.671,0,0.0,0.0,95476de0-febf-11ec-ac44-0242ac1c0002,0,0,0,4,,0,0,0,1,0,2000,0,20,25,0,4
10,Female,1,1,1,short-term,automatic transfer,1,119.0834972801134,3520.100909148841,20.24625348921101,12.40011185663883,18.262,0,0.0,0.0,95476f3e-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,1,115,4000,20,10,25,0,6
11,Male,1,0,1,short-term,email,2,0.0,3296.6726200940625,0.0,12.560035303908734,15.968,0,0.0,0.0,9547738a-febf-11ec-ac44-0242ac1c0002,0,0,0,4,,0,0,0,2,0,4000,0,10,10,0,4
12,Male,1,1,1,short-term,mail,3,117.75209075839524,3873.2682025856634,20.01976417308156,13.100239624313875,15.897,0,0.0,0.0,95477c36-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,3,115,4000,20,10,10,0,6
13,Male,1,1,1,short-term,mail,0,126.13590815693722,4609.835757810626,21.445374436901783,28.83932444599109,25.275,0,0.0,0.0,95478154-febf-11ec-ac44-0242ac1c0002,0,0,0,6,upgrade_package,0,0,0,0,135,4000,20,30,25,0,6
14,Female,1,1,1,short-term,email,0,118.6247055567287,2710.6220756594107,20.169737890033964,13.662324162263124,19.39,0,0.0,0.0,95478438-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,0,115,2000,20,10,25,0,6
15,Male,1,1,1,short-term,email,3,125.25040999945529,6087.00283012927,21.29527028496719,25.771953704188288,25.082,0,0.0,0.0,9547dcc6-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,3,135,6000,20,30,25,0,6
16,Female,1,1,1,short-term,automatic transfer,2,105.6062293141152,4265.953075038256,17.954531120713398,27.78720299849384,22.4,0,0.0,0.0,9547e04a-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,2,115,4000,20,30,25,0,6
17,Male,1,1,1,short-term,automatic transfer,0,120.18074502062004,2941.696710323936,20.433314808587067,26.671364691190902,22.503,0,0.0,0.0,9547e3ec-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,0,115,2000,20,30,25,0,6
